date,price,il,regime
2025-02-05,2787.779052734375,-0.00035953368824170884,Medium
2025-02-06,2688.40087890625,-3.7584170617610546e-05,Medium
2025-02-07,2622.211181640625,-7.1979652134235295e-06,Medium
2025-02-08,2632.308349609375,-1.753294306072739e-06,Medium
2025-02-09,2628.72119140625,-3.2625372345940207e-06,Medium
2025-02-10,2661.166748046875,-6.405146033006126e-06,Medium
2025-02-11,2602.781982421875,-2.8219947606711315e-05,Medium
2025-02-12,2736.902099609375,-0.0001550388274921266,Medium
2025-02-13,2675.902587890625,-2.0098726733919214e-05,Medium
2025-02-14,2726.091552734375,-0.0001221561519907377,Medium
2025-02-15,2693.559814453125,-4.635379899997627e-05,Low
2025-02-16,2663.31591796875,-7.931278008799225e-06,Low
2025-02-17,2743.19970703125,-0.0001759305695515634,Low
2025-02-18,2669.3388671875,-1.3067370742803064e-05,Low
2025-02-19,2715.77099609375,-9.431459922237817e-05,Low
2025-02-20,2740.386474609375,-0.00016644081321337545,Low
2025-02-21,2659.655517578125,-5.428930798023757e-06,Low
2025-02-22,2764.029296875,-0.000254007685362434,Low
2025-02-23,2821.310302734375,-0.0005375984014442947,Low
2025-02-24,2513.8212890625,-0.00030995379887865937,Medium
2025-02-25,2493.592529296875,-0.0004186430075835412,Medium
2025-02-26,2331.45263671875,-0.0019535291817577294,Medium
2025-02-27,2305.484375,-0.0023182535348538202,Medium
2025-02-28,2237.9052734375,-0.0034373667583933454,Medium
2025-03-01,2216.643310546875,-0.0038426152711198425,Medium
2025-03-02,2519.694580078125,-0.0002815929392203653,High
2025-03-03,2145.573974609375,-0.005394007070074647,High
2025-03-04,2170.01513671875,-0.004825349229146458,High
2025-03-05,2241.977294921875,-0.00336273115946939,High
2025-03-06,2202.476806640625,-0.0041273367010187245,High
2025-03-07,2138.987548828125,-0.005553747887516058,High
2025-03-08,2201.51025390625,-0.004147197687491722,High
2025-03-09,2015.5091552734375,-0.00909270919171734,High
2025-03-10,1861.1513671875,-0.01515459343297465,High
2025-03-11,1919.844970703125,-0.012614945646202025,High
2025-03-12,1908.982666015625,-0.01306225167205477,High
2025-03-13,1862.9696044921875,-0.01507131061846223,High
2025-03-14,1909.467529296875,-0.013042069831205927,High
2025-03-15,1937.3946533203125,-0.011913343524152187,High
2025-03-16,1887.43505859375,-0.013979744764930357,High
2025-03-17,1927.0029296875,-0.012325662563651085,High
2025-03-18,1932.54345703125,-0.01210470553451748,High
2025-03-19,2057.7490234375,-0.0077615675535185336,High
2025-03-20,1982.099853515625,-0.010240247722401064,High
2025-03-21,1964.8475341796875,-0.010866861129036565,High
2025-03-22,1980.037841796875,-0.01031390329734605,High
2025-03-23,2005.2991943359375,-0.009434331747102398,High
2025-03-24,2077.47900390625,-0.007183826002001403,High
2025-03-25,2067.76416015625,-0.007464871768496084,High
2025-03-26,2009.1893310546875,-0.009303238230628175,High
2025-03-27,2002.357421875,-0.009534231305032503,High
2025-03-28,1895.5029296875,-0.013631469122929118,High
2025-03-29,1827.3203125,-0.016760118961850257,High
2025-03-30,1806.2186279296875,-0.01781663451272053,High
2025-03-31,1823.47998046875,-0.01694919397907113,High
2025-04-01,1905.491455078125,-0.013208166762236795,High
2025-04-02,1795.313232421875,-0.018379713409936715,Medium
2025-04-03,1815.63720703125,-0.01733973317776527,Medium
2025-04-04,1815.335205078125,-0.017354890631632314,Medium
2025-04-05,1805.9732666015625,-0.017829174166944406,Medium
2025-04-06,1576.72802734375,-0.032414342981789246,High
2025-04-07,1555.240966796875,-0.03411060123846332,Medium
2025-04-08,1472.5531005859375,-0.04125108778192099,Medium
2025-04-09,1668.0400390625,-0.025874546487070882,High
2025-04-10,1522.518798828125,-0.036816990373639835,High
2025-04-11,1567.1497802734375,-0.03316272436817913,High
2025-04-12,1643.528564453125,-0.02752803999831499,High
2025-04-13,1596.685791015625,-0.03089428992167409,High
2025-04-14,1622.7698974609375,-0.02898569114123839,High
2025-04-15,1588.6324462890625,-0.031501330487126,High
2025-04-16,1578.1053466796875,-0.03230774342146736,High
2025-04-17,1582.54833984375,-0.03196559896711104,High
2025-04-18,1588.9246826171875,-0.031479153547420036,High
2025-04-19,1612.9228515625,-0.029695990198573607,High
2025-04-20,1587.5142822265625,-0.031586288593611345,High
2025-04-21,1579.7344970703125,-0.03218198062257116,High
2025-04-22,1757.3316650390625,-0.020434452234710188,High
2025-04-23,1796.104248046875,-0.018338474245398362,High
2025-04-24,1769.8316650390625,-0.019741902696808866,High
2025-04-25,1786.634521484375,-0.01883628243490021,High
2025-04-26,1821.881103515625,-0.017028330357179544,High
2025-04-27,1792.864990234375,-0.01850774660653387,High
2025-04-28,1798.851806640625,-0.018195715308132132,High
2025-04-29,1799.1756591796875,-0.018178937810395923,High
2025-04-30,1793.775390625,-0.01846006645443654,High
2025-05-01,1839.2215576171875,-0.01618309326520906,High
2025-05-02,1842.7078857421875,-0.016016593633935705,High
2025-05-03,1833.8397216796875,-0.016442365627861277,High
2025-05-04,1808.59423828125,-0.017695530005055304,High
2025-05-05,1819.697509765625,-0.017136804842876385,High
2025-05-06,1815.0875244140625,-0.017367328312131836,High
2025-05-07,1811.606689453125,-0.017542755011827116,High
2025-05-08,2206.5146484375,-0.004044969431758916,High
2025-05-09,2345.50732421875,-0.0017706222583498965,High
2025-05-10,2582.422607421875,-6.542400946740745e-05,High
2025-05-11,2510.23779296875,-0.000327959779408471,High
2025-05-12,2496.397705078125,-0.00040254258424843314,High
2025-05-13,2680.129638671875,-2.5413723269696042e-05,High
2025-05-14,2610.063232421875,-1.870210905163816e-05,High
2025-05-15,2546.85693359375,-0.000168762739827355,High
2025-05-16,2536.297607421875,-0.00020907461399288785,High
2025-05-17,2475.75439453125,-0.0005288865260895115,High
2025-05-18,2498.233642578125,-0.00039218546978003754,High
2025-05-19,2529.166748046875,-0.0002388433540224666,High
2025-05-20,2524.173095703125,-0.0002609224636189733,High
2025-05-21,2552.34716796875,-0.00014956535476084998,High
2025-05-22,2664.156982421875,-8.572507279924757e-06,High
2025-05-23,2526.44189453125,-0.00025076480140151514,High
2025-05-24,2530.646240234375,-0.00023249724021467966,High
2025-05-25,2551.763916015625,-0.0001515478717224461,High
2025-05-26,2564.138427734375,-0.00011236811726866858,High
2025-05-27,2663.06982421875,-7.748331576351575e-06,High
2025-05-28,2682.212890625,-2.825881364809657e-05,High
2025-05-29,2632.65478515625,-1.6322427039971998e-06,High
2025-05-30,2529.943603515625,-0.00023550001028083134,High
2025-05-31,2529.08740234375,-0.0002391862168108494,High
2025-06-01,2536.266357421875,-0.00020920057612172638,High
2025-06-02,2607.097412109375,-2.2340323083236413e-05,High
2025-06-03,2593.2802734375,-4.362906525423593e-05,High
2025-06-04,2608.64306640625,-2.0403412880787286e-05,High
2025-06-05,2416.28564453125,-0.0009976525650007284,High
2025-06-06,2477.19482421875,-0.0005194764089222481,High
2025-06-07,2526.50537109375,-0.00025048363782242955,Medium
2025-06-08,2510.787109375,-0.0003251649843155624,Medium
2025-06-09,2681.51708984375,-2.729202444196055e-05,Low
2025-06-10,2813.517578125,-0.0004932352042453791,Low
2025-06-11,2773.529296875,-0.00029413233983432985,Low
2025-06-12,2651.795166015625,-1.6475557178541322e-06,Low
2025-06-13,2579.486083984375,-7.209262581864273e-05,Low
2025-06-14,2533.444091796875,-0.00022073943592249012,Low
2025-06-15,2546.837158203125,-0.00016883405792111894,Low
