sigma,alpha,expected_il
0.5789473684210527,0.74,-0.05090179952788643
0.5789473684210527,0.76,-0.04471688384475375
0.5789473684210527,0.78,-0.053766278125587944
0.5789473684210527,0.8,-0.0546709750452211
0.5789473684210527,0.82,-0.0594410938336991
0.5789473684210527,0.84,-0.05679296044122087
0.5789473684210527,0.86,-0.05344832183405218
0.5789473684210527,0.88,-0.05580698417106282
0.5789473684210527,0.9,-0.056284429387040466
0.6210526315789473,0.1,0.03405199847990886
0.6210526315789473,0.12000000000000001,0.024327147873506823
0.6210526315789473,0.14,0.03671343621081719
0.6210526315789473,0.16,0.0177838356718319
0.6210526315789473,0.18,0.019691024593352053
0.6210526315789473,0.2,0.012859103859774648
0.6210526315789473,0.22,0.010164141753766433
0.6210526315789473,0.24000000000000002,0.009335000611922705
0.6210526315789473,0.26,0.0042181789649244515
0.6210526315789473,0.28,0.00478411074572611
0.6210526315789473,0.30000000000000004,-0.0032740464360150943
0.6210526315789473,0.32,-0.005778325549441892
0.6210526315789473,0.33999999999999997,-0.011159707506768975
0.6210526315789473,0.36,-0.013749440591955072
0.6210526315789473,0.38,-0.016161549710944374
0.6210526315789473,0.4,-0.021193859823581785
0.6210526315789473,0.42000000000000004,-0.02362368002125413
0.6210526315789473,0.44000000000000006,-0.02669903786496164
0.6210526315789473,0.45999999999999996,-0.025709070932728836
0.6210526315789473,0.48,-0.03305590992035587
0.6210526315789473,0.5,-0.03308666769821989
0.6210526315789473,0.52,-0.035105372274432264
0.6210526315789473,0.54,-0.03813547733569034
0.6210526315789473,0.56,-0.0394174711269832
0.6210526315789473,0.58,-0.044659336679515375
0.6210526315789473,0.6,-0.051396131604959205
0.6210526315789473,0.62,-0.04459111327087377
0.6210526315789473,0.64,-0.04259959140895337
0.6210526315789473,0.66,-0.04937099429071336
0.6210526315789473,0.6799999999999999,-0.05586419233142312
0.6210526315789473,0.7,-0.05726173290952306
0.6210526315789473,0.72,-0.0543880681819702
0.6210526315789473,0.74,-0.06127483816394162
0.6210526315789473,0.76,-0.052307817577058775
0.6210526315789473,0.78,-0.05866608171863376
0.6210526315789473,0.8,-0.062958776698754
0.6210526315789473,0.82,-0.05558679869019996
0.6210526315789473,0.84,-0.06108553647764963
0.6210526315789473,0.86,-0.07042510251227528
0.6210526315789473,0.88,-0.06307741016436533
